"price","age","nbh","cbd","inst","rooms","area","land","baths"
60000,48,4,3000,1000,7,1660,4578,1
40000,83,4,4000,1000,6,2612,8370,2
34000,58,4,4000,1000,6,1144,5000,1
63900,11,4,4000,1000,5,1136,10000,1
44000,48,4,4000,2000,5,1868,10000,1
46000,78,4,3000,2000,6,1780,9500,3
56000,22,4,4000,2000,6,1700,10878,2
38500,78,4,3000,2000,6,1556,3870,2
60500,42,4,3000,2000,8,1642,7000,2
55000,41,4,3000,2000,5,1443,7950,2
39000,78,4,1000,4000,6,1439,4990,1
41000,38,0,6000,4000,5,1482,8017,1
50900,18,0,5000,4000,6,1290,12538,2
52000,32,0,9000,7000,6,1274,7858,1
49000,18,0,9000,8000,6,1476,15664,1
80000,58,4,2000,3000,7,1838,9249,2
50000,56,4,2000,3000,6,1536,10491,2
59000,70,4,2000,3000,5,2458,9400,2
42000,26,4,3000,4000,4,750,8000,1
71500,21,4,4000,4000,5,2106,13370,2
43000,24,4,4000,5000,4,1000,8000,1
48000,33,4,5000,5000,6,1410,10370,2
37500,128,2,14000,14000,7,2346,43560,2
59000,15,2,18000,18000,6,1215,44867,1
59000,7,2,18000,18000,6,2128,44174,2
94000,0,2,16000,17000,7,2290,25250,3
95920,0,2,17000,17000,7,2464,48269,3
95000,0,2,17000,17000,7,2240,44916,3
95900,0,2,17000,17000,7,2464,50808,3
91000,1,2,16000,17000,7,2240,53000,3
96900,0,2,16000,16000,7,2464,41463,3
47000,104,4,2000,4000,8,2576,12568,2
68500,18,4,3000,4000,6,1377,12877,2
36000,188,0,9000,9000,6,2071,9665,2
90000,12,0,8000,8000,7,2352,26890,3
66900,178,0,10000,9000,10,1750,12516,2
44000,1,4,3000,6000,6,1869,12500,2
43500,48,4,2000,6000,6,1490,5000,1
40000,56,4,2000,6000,5,1867,5000,1
46000,3,4,3000,6000,7,1261,10000,2
48000,21,0,3000,5000,5,1038,15431,1
61000,12,4,4000,6000,7,1800,13030,2
55500,28,4,4000,5000,6,1972,20089,2
63000,23,0,6000,7000,6,2089,16935,1
32000,148,0,6000,7000,6,1464,29129,2
32000,25,0,7000,7000,6,2112,12500,2
82000,13,0,12000,12000,6,1964,25182,2
51000,18,0,14000,17000,5,1166,45000,1
83000,38,1,10000,14000,6,3861,51062,2
1e+05,10,0,14000,16000,7,2252,44000,3
131500,8,0,14000,16000,9,2598,44000,3
37500,21,0,17000,18000,4,2276,43560,1
49000,68,4,3000,6000,6,1875,9790,2
54000,13,4,4000,6000,6,1570,8790,2
56900,38,0,4000,7000,6,2032,10993,2
62000,22,0,4000,8000,6,1318,20550,2
48000,21,0,4000,8000,5,1078,21800,2
48000,56,4,4000,7000,7,3460,11421,2
53000,28,4,3000,7000,5,1592,12700,2
49000,54,4,4000,7000,8,915,14000,1
31000,28,4,5000,7000,5,925,4585,1
56900,14,0,4000,7000,6,1421,21120,2
34000,78,0,10000,10000,5,990,1710,1
98000,153,0,10000,11000,9,3792,35942,4
85500,3,0,12000,12000,7,2544,26726,3
122500,0,0,12000,12000,7,2206,50094,3
185000,189,1,14000,17000,9,5078,132422,4
67500,5,1,17000,19000,5,1358,44775,2
120000,8,1,16000,19000,7,2171,44064,3
79000,1,1,19000,21000,7,1998,43561,3
77500,1,1,18000,21000,7,1998,147668,3
58000,26,1,20000,22000,6,1356,544500,2
61900,0,1,19000,21000,9,1411,44431,3
79900,2,1,19000,21000,7,1540,46174,3
62400,0,1,20000,22000,7,1296,46609,2
89500,1,1,22000,24000,7,2240,43560,2
89500,0,6,21000,23000,7,2436,43560,3
94900,0,6,22000,24000,7,2384,43560,3
85900,0,6,24000,26000,6,1862,56392,2
92900,0,6,24000,26000,7,2036,49737,3
84900,0,6,24000,26000,7,2082,43958,3
85900,0,6,24000,26000,7,1962,44465,3
85900,0,6,24000,26000,7,2286,43996,3
97900,0,6,24000,25000,7,2464,43560,3
78400,0,6,24000,25000,6,1862,45302,2
91400,0,6,24000,26000,8,2738,43995,2
106500,0,6,25000,26000,7,2240,43995,3
109500,0,6,24000,26000,7,2780,43995,3
148000,1,1,14000,16000,7,2781,43560,3
75000,12,1,16000,19000,6,1537,48352,2
90400,1,1,14000,16000,7,2796,43560,3
125000,1,1,14000,16000,9,2794,43995,3
123000,158,6,22000,23000,9,2872,104544,3
63000,30,6,21000,22000,6,1357,45302,1
87500,188,6,21000,23000,7,3256,44867,2
73000,0,0,30000,31000,7,2038,49223,2
84900,0,0,25000,26000,7,1924,44431,3
80900,0,0,25000,26000,7,2370,43560,3
94000,0,0,25000,26000,7,2036,51836,3
74500,0,0,30000,31000,7,1818,55321,2
82500,1,5,33000,34000,7,1986,50094,3
86000,3,5,31000,32000,6,1855,50965,2
76900,1,5,30000,30000,6,1836,46174,3
75900,1,5,30000,30000,7,1836,45738,2
75500,0,5,30000,30000,7,1820,46174,3
75000,0,5,30000,30000,7,1728,47916,2
73900,0,5,30000,30000,6,2092,47045,3
83900,0,5,33000,34000,7,2036,46174,3
76900,1,5,33000,34000,7,2400,43560,3
84300,0,5,30000,31000,7,2104,68689,3
75900,0,5,30000,31000,7,1928,157252,3
87900,0,5,30000,31000,7,2067,204296,3
65000,13,2,26000,26000,7,1360,43910,2
90000,0,2,26000,26000,7,1940,43996,3
104500,5,2,26000,26000,7,2816,43560,3
63000,14,2,24000,25000,6,1235,95832,2
66100,5,2,27000,27000,7,1388,46600,2
60000,6,2,27000,27000,7,1070,48834,1
73000,4,2,27000,28000,7,1390,46100,2
83000,3,2,24000,25000,9,2574,43996,3
70500,1,5,28000,29000,6,1232,45000,2
120000,4,5,28000,28000,6,2650,43996,3
62500,12,5,31000,32000,6,1978,44867,2
65500,1,5,28000,29000,6,1248,45000,2
84900,9,5,27000,28000,7,1716,45500,2
63400,9,5,31000,31000,6,1144,44431,1
80000,2,5,30000,30000,7,2450,44867,3
86000,2,0,23000,24000,7,2952,43996,3
94376,0,0,23000,24000,7,2800,69260,3
90500,0,0,23000,24000,7,2108,52272,3
90500,2,0,24000,24000,7,2208,54014,3
84900,0,0,24000,24000,7,1560,44864,3
86000,2,0,24000,24000,7,2248,49222,3
91500,6,2,22000,23000,7,2284,44001,3
89912,23,2,21000,21000,7,2632,64904,2
88000,23,2,21000,21000,7,2632,64904,2
73500,14,2,19000,19000,6,1936,43996,2
85000,8,2,21000,21000,8,2004,44080,2
87000,13,2,21000,21000,7,1920,44260,2
97000,5,2,20000,20000,7,2136,44000,3
72500,3,2,24000,24000,7,2472,46422,3
77000,4,2,24000,23000,7,1792,45106,3
85000,5,2,23000,23000,7,2136,117176,3
82000,4,2,20000,20000,8,2016,44900,3
93000,0,2,20000,20000,6,2514,43996,3
105000,0,2,20000,20000,7,2432,43663,3
106500,0,2,20000,20000,7,2878,43560,3
44900,15,3,26000,26000,5,960,51690,1
73000,11,0,19000,18000,7,1868,56900,3
46500,11,3,29000,28000,6,1296,94961,2
50000,13,3,29000,28000,6,1668,43560,2
90000,0,3,29000,28000,7,2052,43560,3
49500,1,0,33000,33000,6,1100,38768,1
57000,28,0,35000,34000,5,1320,64033,1
120000,9,0,11000,13000,6,3030,47916,3
83500,3,0,14000,15000,6,1924,42688,2
3e+05,0,0,11000,12000,7,3770,282704,3
64900,3,0,12000,12000,7,2856,29955,2
50900,58,4,6000,6000,5,930,8185,1
60500,12,4,7000,6000,6,1399,10000,2
70400,3,4,6000,5000,5,1342,8500,2
48000,48,4,6000,7000,6,1500,5153,2
53500,25,0,10000,10000,7,1333,11883,1
66000,8,6,24000,26000,6,1844,92783,2
64000,8,6,24000,26000,6,1764,86249,2
65000,11,0,15000,15000,7,2727,44867,3
72900,10,0,14000,13000,7,2080,25000,2
26000,2,0,13000,13000,7,2030,25120,3
117000,0,0,14000,14000,7,3030,32255,3
97000,0,0,14000,13000,7,2252,30894,3
95000,2,0,13000,13000,7,2238,25690,3
107900,0,0,14000,13000,7,2464,30945,3
120000,0,0,14000,14000,7,2464,31059,3
120000,1,0,14000,14000,7,2502,34666,3
121000,0,0,14000,14000,7,2510,31915,3
107000,0,0,14000,13000,7,2012,30800,3
119900,0,0,14000,13000,7,2352,31331,3
142500,0,0,14000,13000,7,2492,27248,3
84211,0,0,14000,13000,7,2756,27205,3
49000,81,4,4000,1000,6,1554,6790,1
52000,71,4,3000,2000,5,1575,3485,1
68000,31,4,3000,2000,6,3304,18731,2
54000,41,4,3000,2000,6,1700,7500,1
70000,31,4,4000,2000,6,1454,5500,2
47000,81,4,3000,2000,6,1410,4500,1
73900,19,0,5000,4000,6,1592,13068,1
117500,1,0,9000,9000,9,1910,15246,3
60000,41,0,10000,10000,5,735,10454,1
85000,1,0,16000,15000,6,1154,43560,2
66479,26,0,9000,7000,5,1104,15512,1
70000,81,4,1000,3000,6,1830,13939,1
66500,41,4,3000,4000,5,1166,9770,1
91000,31,4,4000,4000,7,2263,10019,2
72500,31,4,4000,4000,6,1482,12632,1
67000,36,4,4000,4000,4,970,11104,1
68000,21,1,8000,12000,6,1684,81273,2
85000,18,2,18000,18000,6,1080,52272,2
106000,13,4,3000,5000,6,1633,17728,2
130000,24,4,4000,5000,7,3208,17424,3
119900,0,0,11000,10000,7,2258,12500,3
125000,1,0,12000,10000,7,2016,12632,3
118000,0,0,12000,10000,7,1991,12632,3
1e+05,0,0,12000,10000,7,1746,13504,3
128000,1,0,12000,10000,7,2700,13504,3
140000,0,0,11000,10000,7,2302,13504,3
143500,0,0,11000,10000,6,2144,12806,3
66500,59,4,2000,6000,5,1867,5000,1
50000,51,0,2000,5000,5,1140,13945,1
65000,25,0,4000,5000,5,912,12005,1
86000,20,0,7000,7000,6,1425,19550,1
120000,131,0,12000,12000,9,3798,50045,2
135000,0,0,11000,11000,7,2252,34879,3
135000,0,0,11000,11000,7,2252,34879,3
160000,0,0,12000,11000,7,2836,37046,3
168000,0,0,12000,11000,7,2486,30808,3
182095,0,0,12000,11000,7,3074,25159,3
175000,0,0,12000,11000,7,3074,25265,3
162000,0,0,11000,11000,7,3232,25380,3
189857,0,0,12000,12000,7,3396,31412,4
190508,0,0,12000,12000,7,2464,37026,3
234552,0,0,12000,12000,7,3252,29671,3
220000,0,0,12000,11000,7,3040,29621,3
175000,0,0,12000,11000,7,3055,25265,3
118000,11,0,13000,16000,7,1731,14810,2
155000,1,1,11000,14000,9,2996,45738,3
144000,0,1,11000,14000,7,2464,46174,3
216000,0,1,10000,13000,7,2548,46174,3
124500,0,1,10000,13000,6,3398,63260,4
80000,0,1,10000,13000,6,1988,65212,3
1e+05,0,1,10000,14000,7,5136,47916,3
88000,81,4,3000,6000,6,2327,35538,1
41000,41,4,3000,7000,6,936,8276,1
66000,121,4,7000,3000,7,1674,54886,1
74000,7,4,4000,7000,5,1587,5957,2
76900,1,0,4000,7000,5,1531,3049,2
132000,0,0,7000,9000,7,2574,43757,3
130000,0,0,6000,8000,7,2644,35284,2
75000,39,0,10000,10000,6,1456,18215,1
156500,2,0,10000,11000,7,2464,31215,3
140000,8,0,10000,10000,8,2400,29226,3
65000,81,0,11000,11000,6,1760,32670,2
150000,6,0,12000,12000,6,3132,26136,3
155000,2,0,13000,13000,7,2688,28688,2
153000,0,6,23000,25000,7,2656,43996,3
160000,0,6,23000,25000,7,2738,43560,3
148000,0,6,23000,25000,7,2736,43560,3
142000,0,6,23000,25000,8,3726,43935,3
162000,1,6,22000,24000,7,2656,45302,3
175500,0,6,22000,24000,8,3284,43996,3
194000,1,6,22000,24000,9,3170,45302,3
130500,0,6,24000,25000,6,2330,43995,2
73000,29,1,16000,19000,6,1564,48787,1
140000,0,1,16000,18000,6,2248,49829,3
82000,29,1,17000,19000,6,1566,43996,1
180000,2,1,15000,17000,7,2744,77101,3
2e+05,0,1,16000,18000,7,2470,64745,3
52900,51,6,22000,23000,6,1199,54450,1
110000,17,6,21000,23000,6,2204,45302,2
68000,0,6,22000,24000,7,2400,45738,3
90000,2,6,22000,23000,7,3152,51835,2
102000,2,6,22000,23000,7,3152,51835,2
119600,0,6,22000,24000,7,2701,48787,3
113500,2,0,25000,26000,7,2000,43569,3
80500,11,2,27000,28000,7,1286,44200,2
75900,19,2,25000,26000,6,1344,78408,2
109000,2,2,23000,24000,6,1232,49384,2
160000,6,2,24000,24000,7,4056,69465,3
120000,8,2,25000,25000,7,2364,43996,3
135900,0,2,25000,26000,7,2377,43560,3
121000,6,5,27000,28000,7,2706,43996,3
85000,15,5,31000,32000,6,1978,44867,2
133000,3,5,28000,28000,7,2756,43573,3
143000,0,5,31000,31000,7,2576,49223,3
130000,2,5,32000,33000,7,2528,45738,3
135000,0,5,32000,32000,7,2464,46609,3
141000,2,5,31000,31000,7,2920,43560,3
125000,0,5,31000,31000,7,2548,43560,3
172900,0,0,24000,24000,7,2580,53579,3
177755,0,0,24000,24000,7,2738,45973,3
125000,0,0,25000,25000,7,2208,45738,3
173500,0,0,23000,23000,7,2900,43560,3
169000,0,0,23000,23000,7,3292,43560,3
167950,0,0,24000,24000,6,2472,52708,3
145000,0,0,23000,24000,7,2569,43560,3
159900,0,0,23000,23000,7,2464,47480,3
172267,0,0,23000,23000,7,2826,46598,3
156900,0,0,23000,23000,7,2464,43908,3
169900,0,0,23000,23000,7,2832,43560,3
129900,7,2,23000,23000,7,2056,65340,3
109900,26,2,21000,21000,7,2632,64904,2
120000,13,2,18000,19000,6,2528,44431,3
140000,7,2,22000,22000,6,1800,44867,3
83000,7,2,23000,23000,6,1182,44247,1
175000,0,2,21000,21000,7,2738,59790,3
117500,7,2,20000,20000,8,2016,44900,3
155500,0,2,20000,20000,7,2610,44431,3
158000,2,2,20000,20000,7,2627,43560,3
115000,7,0,20000,19000,6,1848,46300,2
133500,6,3,27000,26000,7,2648,46609,3
128000,4,3,26000,26000,7,2464,43560,3
105000,5,3,30000,29000,7,1998,67954,3
90000,16,0,33000,33000,6,1549,44431,1
270000,12,0,11000,13000,7,3334,43560,3
70000,26,0,13000,14000,6,1526,28314,1
98000,3,0,14000,15000,6,1197,50965,2
103900,1,0,12000,13000,7,1836,35284,3
101100,6,0,12000,12000,7,2856,29955,2
107900,1,0,12000,13000,7,1836,35121,2
62000,15,4,6000,6000,6,1133,5000,1
96750,1,4,6000,5000,7,1242,23087,2
79500,36,4,6000,6000,5,2216,10000,2
97900,0,4,6000,5000,7,1226,13068,2
103900,0,4,6000,5000,7,1910,20909,2
70000,3,4,5000,6000,6,1728,10938,2
175000,26,0,10000,10000,6,1842,29130,2
80000,65,0,10000,10000,5,2384,10000,2
60000,25,0,10000,10000,6,1388,7500,1
144500,0,6,24000,26000,7,3140,48787,3
97000,20,0,15000,15000,6,1296,44867,2
95000,19,0,14000,15000,5,1148,44182,2
204080,0,0,13000,13000,7,2261,45465,3
